City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Longyearbyen,SJ,2021-09-02 14:52:08,78.2186,15.6401,40.84,65,20,14.97
95,Qaanaaq,GL,2021-09-02 14:55:46,77.484,-69.3632,36.45,54,100,7.54
96,Saskylakh,RU,2021-09-02 14:55:48,71.9167,114.0833,35.69,97,100,20.76
97,Banda Aceh,ID,2021-09-02 14:55:50,5.5577,95.3222,79.61,80,97,10.65
98,Mahebourg,MU,2021-09-02 14:55:51,-20.4081,57.7,72.25,68,40,17.27
99,Isangel,VU,2021-09-02 14:55:53,-19.55,169.2667,71.13,60,100,11.32
100,Mayumba,GA,2021-09-02 14:55:54,-3.432,10.6554,75.74,80,100,5.82
101,Vaini,TO,2021-09-02 14:55:56,-21.2,-175.2,69.96,83,90,6.91
102,Dikson,RU,2021-09-02 14:55:58,73.5069,80.5464,41.94,60,100,8.19
103,Saldanha,ZA,2021-09-02 14:52:02,-33.0117,17.9442,62.65,77,47,14.85
104,Thompson,CA,2021-09-02 14:56:00,55.7435,-97.8558,60.96,94,90,2.3
105,Dutlwe,BW,2021-09-02 14:56:01,-23.9833,23.9,86.49,10,0,11.1
106,Poum,NC,2021-09-02 14:56:03,-20.2333,164.0167,70.03,67,100,17.9
107,Pevek,RU,2021-09-02 14:56:04,69.7008,170.3133,34.32,94,99,2.35
108,Waconia,US,2021-09-02 14:56:06,44.8508,-93.7869,66.2,76,100,1.01
109,Chivasso,IT,2021-09-02 14:56:07,45.1894,7.8872,82.71,41,20,5.75
110,Whyalla,AU,2021-09-02 14:56:09,-33.0333,137.5833,58.89,82,90,12.66
111,Quzhou,CN,2021-09-02 14:56:10,28.9594,118.8686,76.6,89,100,2.08
112,Katsuura,JP,2021-09-02 14:56:11,35.1333,140.3,69.82,91,100,14.67
113,Kurilsk,RU,2021-09-02 14:56:11,45.2333,147.8833,56.57,92,87,3.24
114,Yellowknife,CA,2021-09-02 14:56:12,62.456,-114.3525,52.32,93,20,8.05
115,Aban,RU,2021-09-02 14:56:14,56.67,96.06,48.99,75,100,4.21
116,Ati,TD,2021-09-02 14:56:16,13.2154,18.3353,103.01,13,100,6.96
117,Reynosa,MX,2021-09-02 14:56:17,26.0833,-98.2833,87.96,79,25,13.24
118,Tiznit,MA,2021-09-02 14:56:19,29.5833,-9.5,82.29,39,0,12.08
119,Praia,CV,2021-09-02 14:56:21,14.9215,-23.5087,84.74,79,75,13.8
